id,type,lat,lon,name,operator,capacity,socket_outlet_1_type,socket_outlet_1_power,socket_outlet_2_type,socket_outlet_2_power,access
12109081581,node,49.2029974,16.6184283,Brno Sever Černopolní,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12117397334,node,49.2256106,16.5325273,Bystrc Jakuba Obrovského,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12138632174,node,49.2307364,16.5846593,Královo Pole Herčíkova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12138632175,node,49.2015651,16.6438781,Židenice Gajdošova,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12610416355,node,49.1866185,16.6066312,Fuchsova 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12610416356,node,49.1866153,16.6066371,Fuchsova 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12778052202,node,49.260351,16.5807747,N/A,E.ON,6,N/A,N/A,N/A,N/A,yes
12844669622,node,49.2088242,16.5914047,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669623,node,49.2088044,16.5913269,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669624,node,49.2087847,16.5912491,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669625,node,49.2089823,16.5913155,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669626,node,49.2089626,16.5912377,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669627,node,49.2089428,16.5911599,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669636,node,49.2091115,16.5912344,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669637,node,49.2090918,16.5911566,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669638,node,49.209072,16.5910788,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669655,node,49.209247,16.5911579,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669656,node,49.2092273,16.5910801,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669657,node,49.2092075,16.5910023,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669727,node,49.2095101,16.5903117,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669728,node,49.2095261,16.5903709,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669729,node,49.209542,16.5904302,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669730,node,49.209558,16.5904895,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669731,node,49.2095739,16.5905487,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669732,node,49.209617,16.590708,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669733,node,49.2096342,16.5907739,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12844669734,node,49.2096514,16.5908397,N/A,N/A,2,N/A,N/A,N/A,N/A,public
12853388759,node,49.2257404,16.5852059,N/A,Teplárny Brno,2,N/A,N/A,N/A,N/A,public
12896491766,node,49.136524,16.6315924,Olympia 4,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491767,node,49.1365741,16.631591,Olympia 5,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491768,node,49.1879821,16.5912717,Brno Střed Rybářská,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491769,node,49.199873,16.6077668,Moravské náměstí,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491770,node,49.2439085,16.5138436,Maximus 1,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12896491771,node,49.2439085,16.5139134,Maximus 2,Teplárny Brno,2,N/A,N/A,N/A,N/A,yes
12190699908,node,49.1387783,16.630679,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
12190699909,node,49.1387761,16.6307657,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
12190699910,node,49.1382301,16.6307342,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
12190699911,node,49.1382323,16.6306476,N/A,N/A,N/A,N/A,N/A,N/A,N/A,public
